Name,Country,Implementation Date,Start Date,End Date,Organisation Name,Donors,Implementing Partners,Point of Contact,Overview of digital health implementation,Geographical scope,Health Focus Areas,Software,Health System Challenges,Health Information System Support,Government Investor,Licenses,Repository,Mobile Application,Wiki,Interoperability Standards,National Level Deployment,First Level Coverage,Second Level Coverage,Approved
Etiona,Russian Federation,16/10/2018,31/03/2017,,Etiona,None (non-profit organization),,"Elena Khatmullina, lor7khatmullina@gmail.com","""Etiona"" is an online service of ideas for cases when can not make a diagnosis.
User enter the symptoms and find out the possible disease options. 
The conclusion in the form of interactive drawings from chains of causal relationships will explain why such a result was obtained.
The program will tell to user other possible signs for each disease and help choose the most suspicious ailments.
The online service is intended for doctors and patients who are faced with the problem of complex diagnosis. 
Etiona in a couple of minutes will find many options for the causes of the disease for differential diagnosis.
Etiona will hypothesize the development of the disease, even if a similar case has not yet been described in the literature.
When creating each answer graph, scientific knowledge obtained immediately from many medical sources will be simultaneously applied.
Artificial intelligence will apply the knowledge gained from millions of books in order to help solve your diagnostic puzzle.",The whole English-speaking and Russian-speaking world.,"Infectious diseases (non-vector borne),Neglected Tropical Diseases (NTDs),Non-communicable diseases,Nutrition and metabolic disorders,Other chronic conditions and disabilities,Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs)",Web,"1.6 Insufficient utilization of data and information,2.4 Insufficient supply of qualified health workers,3.2 Insufficient health worker competence,7.1 High cost of manual processes","F. Community-based Information System,L. Geographic Information Systems,N. Health Management Information System",no,Freemium,,https://etiona.com,,JSON,"Clients: 0, Health Workers: 10, Facilities: 0",,,no
Guinea EVD contact Tracing,Guinea,02/11/2014,14/10/2014,30/12/2016,"Earth Institute of Columbia University & Millennium Promise, Inc",UNFPA,"UNFPA Guinea,Earth Institute of Columbia University,Millennium Promise, Inc,Dimagi, Inc","Anne Lui, Aboubacar DIALLO, Mamady Camara, adiallo84x@gmail.com","An informatics system consisting of a mobile health application and business intelligence software was used for collecting and analyzing Ebola contact tracing data. This system offered potential to improve data access and quality to support evidence-based decision making for the Ebola response in Guinea. Implementation challenges included software limitations, technical literacy of users, coordination among partners, government capacity for data utilization, and data privacy concerns.","Introduction of Mobile Health Tools to Support Ebola Surveillance and Contact Tracing in Guinea.
An informatics system consisting of a mobile health application and business intelligence software was used for collecting and analyzing Ebola contact tracing data. This system offered potential to improve data access and quality to support evidence-based decision making for the Ebola response in Guinea. Implementation challenges included software limitations, technical literacy of users, coordination among partners, government capacity for data utilization, and data privacy concerns.","Cross Cutting,Infectious diseases (non-vector borne)",Commcare,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,5.2 Geographic inaccessibility,5.4 Loss to follow-up","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,V. Public health and disease surveillance",yes,Protective free and open source software,http://www.ghspjournal.org/content/ghsp/3/4/646.full.pdf,https://www.commcarehq.org/a/guinea-contact-tracing/dashboard/project/,,"JSON,XForms",,"District: 3731500 [Clients: 300, Health Workers: 105, Facilities: 8], District: 3309644 [Clients: 100, Health Workers: 72, Facilities: 5], District: 3309805 [Clients: 200, Health Workers: 189, Facilities: 15]",,no
RDC EVD Contact Tracing,"Congo, the Democratic Republic of the",27/12/2018,27/12/2018,,MoH DRC,UNFPA,"Dimagi,Inc,UNFPA RDC,MoH DRC","Aboubacar DIALLO, adiallo84x@gmail.com",N/A,Introduction of Mobile Health Tools (CommCare) to Support Ebola Surveillance and Contact Tracing in  DRC,"Cross Cutting,Infectious diseases (non-vector borne)",Commcare,"1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information","C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System",yes,Protective free and open source software,,,,"JSON,XForms",,"District: 5642698 [Clients: 20, Health Workers: 70, Facilities: 5], District: 5642699 [Clients: 20, Health Workers: 70, Facilities: 5]",,no
"Expecting - information parents need to make decisions in pregnancy, birth and postpartum",Croatia,22/05/2019,31/05/2019,,Roda - Parents in Action,European Commission,"Aperio - Healthy Parenting Association,Indo Anai","Daniela Drandic, expecting@roda.hr","Getting information that parents  can trust about pregnancy, birth and parenting is hard. Expecting.app is different – written by independent parents and experts, it brings together everything parents need to know about pregnancy, birth and beyond in an easy to understand, friendly format that encourages them to make their own choices. The app complies in full with the International Code of Marketing of Breast-milk Substitutes (WHO Code).","The app is currently available in English, Croatian, Slovene and Czech with future updates planned adding Spanish and Hungarian.",Maternal health,Expecting - Pregnancy Your Way,"1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.1 Poor patient experience,3.5 Insufficient continuity of care,3.7 Poor adherence to guidelines","E. Clinical terminology and classifications,F. Community-based Information System,M. Health finance and insurance system,P. Identification registries and directories,R. Laboratory and Diagnostic System",no,Proprietary,,http://www.expectingapp.eu,,,"Clients: 5000, Health Workers: 100, Facilities: 0",,,no
Hospital Information Management System - HIMS Sri Lanka,Sri Lanka,04/01/2015,04/01/2015,,Ministry of Health Sri Lanka,Other,"University of Kelaniya,Ahmed Tea (London)","Dr Nishan Siriwardena, siriwardenanishan@gmail.com","Hospital Information Management System is a comprehensive electronic system to support functions carried out in hospitals, developed and owned by the Ministry of Health. the Aim of the system is to provide fully integrated care to the public by generating the needed clinical information for the lifelong, longitudinal electric health record system in a cost effective manner. 
HIMS was implemented in 10+ government hospitals and 60+ Primary Care Institutions as the primary hospital information system. The Ministry of Health took a decision to implement only HIMS in givernment hospitals from 2019 onward.
The system was implemented in 60+ primary care institutions.","National, Sub-National
12 Higher grade government hospitals in full scale, 60+ primary care institutions in a downgraded scale",Civil registration and vital statistics,"ADT (Admissions, discharge and transfer),LIMS (Laboratory Information Management System)","1.2 Delayed reporting of events,1.7 Lack of unique identifiers,3.5 Insufficient continuity of care","B. Civil Registration and Vital Statistics,P. Identification registries and directories,X. SHR and health information repositories",yes,Protective free and open source software,,,,"DICOM,HL7 v3,ICD-10","Clients: 0, Health Workers: 100, Facilities: 72",,,no
Electronic Reproductive Health Management Information System - eRHMIS,Sri Lanka,03/07/2016,30/06/2016,,"Family Health Bureau, Sri Lanka",Other,HISP Sri Lanka,"Dr Priyanga Senanayake, priyanga.senanayaka@gmail.com","Electronic Reproductive Health Management Information System (eRHMIS) was developed and implemented in place of the paper based system to manage data from Reproductive, Maternal, New-born, Child, Adolescent and Youth Health (RMNCAYH) programmes in Sri Lanka since 2016. The system provides data access to regional, provincial and national level health authorities and allows flexible data analysis at each level. eRHMIS is developed based on DHIS2, which is a globally recognized free and open source health information management platform. 
With completion of implementing eRHMIS, entire RMNCAYH paper based information management will be replaced with electronic data capturing extending further to capture individual data. eRHMIS was awarded at the 2nd Commonwealth Digital Health Conference under Reproductive Health category in 2017 and at the 3rd Commonwealth Digital Health Conference under adolescent health category in 2018. It also nominated at the BMJ Awards (South Asia) – 2017.",National,"Adolescent and Youth Health,Maternal health,Newborn and Child Health",DHIS2,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,6.1 Inadequate workflow management,6.3 Poor planning and coordination,7.1 High cost of manual processes,8.5  Poor accountability between the levels of the health sector","C. Client applications,E. Clinical terminology and classifications,J. Environmental monitoring systems",yes,"Protective free and open source software,Public domain",https://docs.dhis2.org/master/en/developer/html/dhis2_developer_manual_full.html,https://play.dhis2.org/2.32.2/dhis-web-commons/security/login.action,,"HL7 FHIR,ICD-10","Clients: 0, Health Workers: 3000, Facilities: 400",,,no
Malawi German Health Programme (MGHP),Malawi,31/10/2019,31/12/2016,30/07/2020,GIZ/BMZ,Bill and Melinda Gates Foundation (BMGF),EPOS Health Management,"Simon Ndira, simon.ndira@giz.de","We are strengthening health systems with a focus on reproductive health. In this context, we are implementing digital solutions to generate reliable data for decision support across all levels of care. Digital interventions include: roll out of e-Register platform in 10 health facilities, roll out of infrastructure to enable capturing data from health centers directly into DHIS2 in the 40 MGHP health facilities, introduction of the Quality of Care and Performance Index of MoHP, extension of the Government Wide Area Network (GWAN) to select health facilities, promotion of data use for decision support through the quality improvement and work improvement support teams in health facilities; strengthening digital governance and digital leadership at national level, including contribution to the drafting of the digital health strategy, definition of national health indicators, drafting of standard operating procedures for HIS among other activities.","MGHP is being implemented in central west zone, i.e. in the districts of Lilongwe, Mchinji, Dedza and Ntchue targeting 40 BEmONC / CEmONC health facilities, i.e. 10 health facilities per district.",Maternal health,"DHIS2,Ona","1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.1 Poor patient experience,6.1 Inadequate workflow management,7.1 High cost of manual processes","C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,J. Environmental monitoring systems,M. Health finance and insurance system",yes,Protective free and open source software,,,http://smartregister.org/,,,"District: 3365650 [Clients: 0, Health Workers: 0, Facilities: 0]",,no
Recycling and Upcycling Programme (ReUp),Fiji,,05/07/2020,28/09/2022,UNICEF,Department for International Development (DFID),,"Rajeshwar Prasad, rajprasad@unicef.org",Promote better plastic waste management at school level and develop Precious Plastic machines to plastic waste transformation (molding and/or 3D printing),Pacific - Fiji,Environmental Health,"ADT (Admissions, discharge and transfer)",4.1 Lack of alignment with local norms,S. Learning and Training System,yes,,,,,,"Clients: 500, Health Workers: 50, Facilities: 5",,,no
Community Health Education by Tele-health,Nepal,31/08/2010,30/09/2009,29/09/2020,DISHARC,Bill and Melinda Gates Foundation (BMGF),DISHARC and STRAPAL,"Prof. Dr. Anil Kumar Jha, dranilkrjha@hotmail.com",Tele-dermatology and vocational training to the community people,Mountains and Plain Area of Nepal,"Adolescent and Youth Health,Cross Cutting",Web,1.5 Lack of access to information or data,E. Clinical terminology and classifications,no,"Non protective free and open source software (e.g. Apache),Public domain",,,,ADX - Aggregate Data Exchange,,"District: 4583213 [Clients: 0, Health Workers: 0, Facilities: 0]",,no
INDIA EBUS - Brain Oriented Care in NICU,India,01/10/2019,17/01/2019,29/09/2019,HOTC,Hands On Therapy Concepts,,"Hemant Nandgaonkar, handsotcon@gmail.com","PROBLEM STATEMENT 
Preterm babies are at high risk for developmental disability and to large extent a life long problem. There is increasing the morbidity of academic, cognitive, behavioral, social, communication and other developmental problems. in terms of developmental care there are many lacunae in the present infrastructure
. Emphasis on or reliance on post discharge intervention for supporting the development
. Non individualized developmental care in NICU
- No standardization or policy for developmental care
- lack of documentation for developmental care
- Low level evidence based practice 
- Lack of sufficient trained manpower
- Individual component practice preferred over comprehensive management for developmental care though bundle care approach is found to be effective.
SOLUTION 
INDIA EBUS -Individual Newborn Developmental Intervention Application. EBUS stands for
Evidence Based and Ultra SMART (Specific, Measurable, Accountable, Realistic solutions for Timely intervention). cloud based software","Maharashtra, Thane and Mumbai district","Cross Cutting,Environmental Health,Maternal health,Newborn and Child Health,Other chronic conditions and disabilities,Violence,Water Sanitation and Hygiene (WASH),Wellness and Mental Health","Custom Built from eHA,Other","1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.4 Communication roadblocks,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.2 Insufficient supply of services,2.4 Insufficient supply of qualified health workers,3.1 Poor patient experience,3.2 Insufficient health worker competence,3.7 Poor adherence to guidelines,5.1 Low demand for services,5.3 Low adherence to treatments,6.1 Inadequate workflow management,6.2 Lack of or inappropriate referrals,6.3 Poor planning and coordination,6.4 Delayed provision of care,7.1 High cost of manual processes,8.2 Unaware of service entitlement,8.5  Poor accountability between the levels of the health sector,8.6 Inadequate understanding of beneficiary populations","B. Civil Registration and Vital Statistics,C. Client applications,D. Client communication system,E. Clinical terminology and classifications,F. Community-based Information System,I. Emergency response system,J. Environmental monitoring systems,L. Geographic Information Systems,M. Health finance and insurance system,N. Health Management Information System,R. Laboratory and Diagnostic System,U. Pharmacy Information System,W. Research information system,Y. Telemedicine",no,Proprietary,http://indiaebus.therapyconcepts.org,https://youtu.be/zWDWYk8Cj9s,,,,"District: 1950884 [Clients: 50, Health Workers: 5, Facilities: 2]",,no
Electronic Mental Health Management Information System,Sri Lanka,02/01/2017,02/01/2017,,"Directorate of Mental Health, Ministry of Health, Nutrition and Indigenous Medicine",Other,HISP Sri Lanka,"Dr Nisal Fernando, kmnisal@gmail.com","Development of the electronic Mental Health Management Information System (eMHMIS) initiated, to overcome the limitations of timeliness, accuracy and quality. The eMHMIS intends to capture data using electronic formats and the previous Mental Health returns were revised to accommodate minimal data set principle with eliminating duplicate entries.The eMHMIS captures facility level data such as source of client referrals, disorders, human resource and infrastructure data and the data regard to performance monitoring.

The eMHMIS was developed based on District Health Information Software 2 (DHIS Version 2)

The eMHMIS functions as the National Mental Health Management Information System in Sri Lanka since October 2017, with fulfilling the gap of out-patient mental health information.",National,"Adolescent and Youth Health,Non-communicable diseases,Wellness and Mental Health",DHIS2,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,6.3 Poor planning and coordination","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System",yes,Protective free and open source software,,,,"HL7 v3,ICD-10","Clients: 0, Health Workers: 60, Facilities: 26",,,no
Development and implementation of artificial intelligence for treatment and management of treatment plans.,Kazakhstan,,30/06/2018,,Republican center for E-health,None (non-profit organization),The Minisrty of Health,"Bakyt Igemberlina, igemberlina_b@ezdrav.kz",The application of artificial intelligence technologies of Watson for Oncology in the determination of treatment plans / in the selection of diagnosis and treatment protocols in Kazakh Research Institute of Oncology and Radiology.,the Republic of Kazakhstan,Non-communicable diseases,Other,6.4 Delayed provision of care,,yes,,,,https://ru.wikipedia.org/wiki/IBM_Watson,,"Clients: 0, Health Workers: 0, Facilities: 1",,,no
National Human Resource Information System (NHRIS),Sri Lanka,05/02/2017,05/02/2017,,Health Information Unit - Ministry of Health - Sri Lanka,World Health Organization (WHO),Ministry of Health - Sri Lanka,"K.L.S. Dinesh, dinesh@health.gov.lk",Effectively Plan and Management human resources of the Ministry of Health,National,Cross Cutting,Web,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,2.4 Insufficient supply of qualified health workers","C. Client applications,E. Clinical terminology and classifications,L. Geographic Information Systems",yes,Protective free and open source software,,,,ISO 3166,"Clients: 0, Health Workers: 500, Facilities: 1",,,no
eHospital - Dompe (Hospital Health Information Management System HHIMS),Sri Lanka,03/04/2011,03/04/2011,,"District Hospital-Dompe, Sri Lanka",Other,ICT Agency of Sri Lanka,"Sampath Kulathilaka, drsampathkulathilaka@gmail.com","eHospital-Dompe project could be considered as a one of the successful eHealth solution deployment stories of government hospitals in Sri Lanka. Among the major objectives of the eHospital - Dompe project were, achieving productivity and efficiencies of conventional healthcare service processes through adaptation of ICT enabled and streamlined process automation and appropriate change management. This eHealth solution deployment covers the entire patient caring service offering workflow inclusive of patient registration, queue management, diagnosis (based on patient's Electronic Records), prescription/issuing medicine, requesting and reporting medical laboratory examinations, and other connecting auxiliary caring service.   eChanneling solution module is yet another important and successful service extension of eHospital-Dompe project. These services are provided FREE OF CHARGE at the point of care .",Institutional,Civil registration and vital statistics,Web,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,3.1 Poor patient experience","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,M. Health finance and insurance system,X. SHR and health information repositories",yes,Protective free and open source software,,,,"HL7 v3,ICD-10",,"District: 4630841 [Clients: 0, Health Workers: 80, Facilities: 3]",,no
National Blood Transfusion Service Information System (NBTSIS),Sri Lanka,06/06/2013,04/06/2013,,National Blood Transfusion Service,Other,,"Dr Chaturanga Wijayanayaka, wijesup@gmail.com","Manage process flow from blood collection to blood issuing. This includes, donor registration, identify suitable donors, defer donors temporally or permanently, enter test results, enter  donor group, manage blood stock, blood issue, record keeping and retrieving.  System is managed by the National Blood Transfusion Service.",National,Cross Cutting,Web,"1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information","E. Clinical terminology and classifications,F. Community-based Information System",yes,Protective free and open source software,,,,ADX - Aggregate Data Exchange,"Clients: 0, Health Workers: 80, Facilities: 80",,,no
Quarantine Health Record Management and Surveillance System (QHRMS),Sri Lanka,09/10/2017,08/10/2017,,Quarantine Unit - Ministry of Health,None (non-profit organization),Ministry of Health  - Sri Lanka,"Lahiru Rajakaruna, lahirurajakaruna@gmail.com","Quarantine Health Record Management and Surveillance System (QHRMS) is designed and developed for the Quarantine Unit, Ministry of Health, Nutrition and Indigenous Medicine of Sri Lanka. QHRMS enables to capture and store the data collected from all the sea ports and air ports of Sri Lanka while transforming from conventional paper based health record management system to fully automated online system. Through QHRMS the real-time data is analyzed according to various quarantine requirements and it generates reports and alerts to provide information in order to facilitate the national health surveillance of Sri Lanka.",National,"Cross Cutting,Humanitarian health",DHIS2,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications",yes,Protective free and open source software,,,,ICD-10,"Clients: 0, Health Workers: 150, Facilities: 10",,,no
Electronic Monthly Statistics Reporting System (eMSRS) - National Blood Transfusion Service,Sri Lanka,26/03/2017,23/03/2017,,"Health Information Unit, National Blood Transfusion Service",None (non-profit organization),None,"Dr Chathuranga Wijenayake, wijesup@gmail.com","National Blood Transfusion Service in Sri Lanka is a one of the highest quality services in Asia.But the information flow for the purpose of generating statistics (statistics information flow) regarding blood banks was found to be inefficient because of delay in preparation of annual statistics report and the quality of the collected data is poor due to invalid values. Therefore, The eMSRS system was developed because of these perceived problems and its propose is to improve the blood bank services of the entire country by facilitating administrative decisions.",National,Cross Cutting,DHIS2,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,3.6 Inadequate supportive supervision","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,Q. Knowledge Management",no,Protective free and open source software,,,,ADX - Aggregate Data Exchange,"Clients: 0, Health Workers: 230, Facilities: 110",,,no
Leprosy Health Information System (LeIS) - Sri Lanka,Sri Lanka,11/06/2017,07/06/2017,,Anti-Leprosy Campaign,Other,Anti-Leprosy Campaign,"Supun Wijesinghe, dr.wijesinghe@gmail.com","Leprosy Health Information System (LeIS) is the web-based, online patient database of the Anti-Leprosy Campaign. It captures all patient data from the Individual Patient Files (IPF) of the leprosy patients. It provides a dashboard of indicators to the regional program managers to monitor the disease in their districts and a list of high endemic areas. It also acts as a repository of patients clinical data to facilitate follow-up of leprosy patients. It is also functioning as a GIS mapping tool and monitoring and evaluation tool for the Anti-Leprosy Campaign.",National,Neglected Tropical Diseases (NTDs),Web,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications",yes,Protective free and open source software,,,,ICD-10,"Clients: 0, Health Workers: 50, Facilities: 30",,,no
Accident and Emergency Information System and OPD Information System - NHSL,Sri Lanka,13/09/2016,11/09/2016,,National Hospital of Sri Lanka,Other,Information and Communication Technology Agency,"Dr Samiddhi Samarakoon, mohimu2018@gmail.com",The Accident and Emergency Service Information System and the OPD Information System are important modules of a wider Hospital Information system currently in the process of implementation at the National Hospital of Sri Lanka in collaboration with ICTA. They intend to improve patient care by improving the quality of patient level data and by improving productivity and efficiency of the clinical work processes. Successful implementation of the information systems at OPD and Accident and Emergency Service has also provided novel and logical insight in to the quality of the services they provide.In near future records of  clinics and wards will be included.,Institutional,"Civil registration and vital statistics,Cross Cutting",Web,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,3.1 Poor patient experience,5.4 Loss to follow-up,8.1 Insufficient patient engagement","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,G. Data interchange interoperability and accessibility,M. Health finance and insurance system,X. SHR and health information repositories",yes,Protective free and open source software,,,,"HL7 v2,ICD-10",,"District: 4630841 [Clients: 0, Health Workers: 390, Facilities: 10]",,no
Health Information Management System- Anti Malaria Campaign - Sri Lanka,Sri Lanka,08/01/2018,08/01/2018,,"Anti Malaria Campaign - Ministry of Health, Sri Lanka",Other,Science Land Information Technology (pvt.) Ltd,"Dr Gayan Piyasena, gayanyp@gmail.com","The Anti-Malaria Campaign (AMC) is the focal point in Ministry of Health for prevention and control of malaria in the country. It is one of most success vertical vector control program in Sri Lanka history. However, there were no indigenous malaria cases being reported since October 2012 and Sri Lanka was certified by the World Health
Organization as a malaria free country in September 2016. AMC currently is in the phase of
prevention of the re-introduction malaria. Although country has eliminated indigenous malaria, the risk
of resurgence of malaria was high due to abundance of vectors. Therefore, maintain detail information
on imported malaria cases and vector densities, AMC is using DHIS2 based health management
information system. This system facilitates online capturing of case based data, entomological and
parasitological aggregated data and present it to relevant stakeholders for early detection and
prevention of reemergence of malaria.",National,Vector-borne diseases (not listed under Neglected Tropical Diseases (NTDs),DHIS 2 Tracker,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications",yes,Protective free and open source software,,,,"ADX - Aggregate Data Exchange,CDA - Clinical Document Architecture,ICD-10","Clients: 0, Health Workers: 150, Facilities: 25",,,no
Medical Supplies Management  Information System (MSMIS),Sri Lanka,14/12/2009,14/12/2009,,"Medical Supplies Divsion - Ministry of Health, Sri Lanka",Other,E W Information System,"Dr Hashan Kulasiri, hashanmsd@gmail.com","The main aim of the MSMIS was to improve the efficiency and effectiveness of medical supply management in health institutions in Sri lanka by introducing a web-based management information system. This information system includes stock management, distribution, supply requests arrangement, and demand prediction in government health sector.",National,Cross Cutting,Web,"2.3 Insufficient supply of equipment,7.2 Lack of effective resource allocation",K. Facility Management Information System,yes,Protective free and open source software,,,,,"Clients: 0, Health Workers: 1500, Facilities: 100",,,no
District Nutrition Monitoring System - DNMS,Sri Lanka,09/04/2016,06/04/2016,,Nutrition Coordination Division - Ministry of Health - Sri Lanka,UNICEF,Health Informatics Society of Sri Lanka,"Dr Amila Liyanage, ami.liyanage28@gmail.com","District Nutrition Monitoring System (DNMS) is the information system which captures data related to malnourished children at grass root level. This is done by Public Health Midwives who are the field
level health care workers in the public health arm of the Ministry of Health. The data collection at field level is done by an Android based mobile application using the mobile devices donated by the UNICEF. Children with malnutrition registered into the system which also identifies the different nutritional issues they suffer. Routine anthropometric measurements inserted periodically followed by household risk factors related to malnutrition.
Captured data is transmitted to the data warehouse, which is a customized instance of DHIS2. The process is efficient in speeding up the data flow and could be utilized for decision making. 
The application supports obtaining GPS based location information and real time validation of collected data. This project won many international awards pertaining to its' use.",Sub-National,Nutrition and metabolic disorders,"DHIS2,Other","1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.2 Insufficient supply of services","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,I. Emergency response system",yes,Protective free and open source software,,,,ADX - Aggregate Data Exchange,,"District: 4630835 [Clients: 0, Health Workers: 1000, Facilities: 46], District: 4630836 [Clients: 0, Health Workers: 0, Facilities: 0], District: 3237344 [Clients: 0, Health Workers: 0, Facilities: 0]",,no
Electronic Indoor Morbidity and Mortality Reporting system(eIMMR),Sri Lanka,27/05/2012,23/05/2012,,"Medical Statistics Unit, Ministry of Health","World Bank,World Health Organization (WHO)",,"Buddika Dayaratne, buddika_dayaratne@yahoo.com","eIMMR is a web-based system developed to collect discharge summaries of the patients from all the hospitals including mortality data. The system contributes to timely Annual Health Bulletin and acts as the morbidity data repository of the country. This system gathers data from all most all the hospitals in the country (Approx. 550) which provide inward care to patients. The system is deployed centrally and managed by the Ministry of Health. 
This is was funded by the Second Health Sector Development Project of the Ministry of Health (World Bank) and successfully institutionalized.",National,Cross Cutting,Web,"1.2 Delayed reporting of events,1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,7.2 Lack of effective resource allocation","B. Civil Registration and Vital Statistics,C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System",yes,Protective free and open source software,,,,ICD-10,"Clients: 0, Health Workers: 1500, Facilities: 500",,,no
eHealth project - Base Hospital - Awissawella (Hospital Health information management System: HHIMS),Sri Lanka,06/05/2012,02/05/2012,,Base Hospital Awissawella,Other,ICT Agency of Sri Lanka,"Dr Pradeep Mallawa, pradeepmallawa@gmail.com","This project was meant to provide a well organized digital solution to old and haphazardly arranged paper based hospital health records management in one of the base hospitals in Srilanka. As it has been proven through several health outcome assessment surveys  done by local and international institutions ,this system is a value added service and mandatory implementation to future health care setup. Most of the OPDs and Clinics have been implemented successfully in several number of hospitals. The software to is be extended to the inward setting as well. The system was developed based on HHIMS system.",National,Civil registration and vital statistics,Web,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,1.7 Lack of unique identifiers,3.1 Poor patient experience","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,M. Health finance and insurance system,X. SHR and health information repositories",yes,Protective free and open source software,,,,"DICOM,HL7 v3,ICD-10",,"District: 4630841 [Clients: 0, Health Workers: 100, Facilities: 4]",,no
Health Facility Survey Management System (HFSM),Sri Lanka,15/03/2017,13/03/2017,,Health Information Unit and Management Development and Planning Unit of Ministry of Health Sri Lanka,World Health Organization (WHO),Information and Communication Technology Agency of Sri Lanka,"Mr Piumal Kankanamge, piumal.kankanamge@gmail.com","Health Facility Survey Management (HFSM) System is a web application, which is used to conduct survey on collecting information about health facilities in health institutions all over Sri Lanka. HFSM application will permit the users at different level to do different tasks according to their access level. System internal users should fill the survey forms meant for Health Information Unit, Central Administration Branch and other relevant stakeholders in the Ministry of Health and general public respectively.",National,Cross Cutting,Web,"2.3 Insufficient supply of equipment,7.2 Lack of effective resource allocation",K. Facility Management Information System,yes,Protective free and open source software,,,,"ADX - Aggregate Data Exchange,ISO 3166","Clients: 0, Health Workers: 1120, Facilities: 122",,,no
Human Resource Management Information System (HRMIS),Sri Lanka,,24/04/2013,,Deputy Director General MS II Division of Ministry of Health,Other,,"Dr Megha Ganewatte, meghasl@gmail.com","Deputy Director General of Health Services - Medical Services II (DDG MS II) division at the Ministry of health is the central unit which manages and coordinates the sole workforce of Medical Officers (MO) within the state health sector in the country. Medical service is considered a national 
The Human Resource Management Information System project was planned with the aim of developing a web-based central database for Grade Medical Officers in the Ministry of Health. The system is helpful in mobilizing these Doctors swiftly and in a fair manner.
This system further manages medical officers and dental surgeons grade promotion applications in addition to the online applications of the appointments and transfers.",Institutional,Cross Cutting,Web,"1.3 Lack of quality/reliable data,1.5 Lack of access to information or data,1.6 Insufficient utilization of data and information,2.4 Insufficient supply of qualified health workers,6.3 Poor planning and coordination","C. Client applications,E. Clinical terminology and classifications,F. Community-based Information System,L. Geographic Information Systems",yes,Protective free and open source software,,,,,"Clients: 0, Health Workers: 250, Facilities: 150",,,no
